Country,Date,Vaccine,Total Vaccinations
Finland,2021-11,Pfizer/BioNTech,27349024
Finland,2021-12,Johnson&Johnson,0
Finland,2021-12,Moderna,5845869
Finland,2021-12,Oxford/AstraZeneca,2768886
Finland,2021-12,Pfizer/BioNTech,37679469
Finland,2022-01,Johnson&Johnson,0
Finland,2022-01,Moderna,6541206
Finland,2022-01,Oxford/AstraZeneca,2215129
Finland,2022-01,Pfizer/BioNTech,34395400
Finland,2022-02,Johnson&Johnson,0
Finland,2022-02,Moderna,7462495
Finland,2022-02,Oxford/AstraZeneca,2215140
Finland,2022-02,Pfizer/BioNTech,36334292
Finland,2022-03,Johnson&Johnson,0
Finland,2022-03,Moderna,7538893
Finland,2022-03,Oxford/AstraZeneca,2215140
Finland,2022-03,Pfizer/BioNTech,36865177
France,2020-12,Pfizer/BioNTech,7891
France,2021-01,Pfizer/BioNTech,19383755
France,2021-01,Moderna,432024
France,2021-02,Moderna,3659231
France,2021-02,Pfizer/BioNTech,84761026
France,2021-02,Oxford/AstraZeneca,2422025
France,2021-03,Moderna,14156286
France,2021-03,Oxford/AstraZeneca,43682934
France,2021-03,Pfizer/BioNTech,193051844
France,2021-04,Moderna,38937450
France,2021-04,Oxford/AstraZeneca,99572362
France,2021-04,Pfizer/BioNTech,366138002
France,2021-04,Johnson&Johnson,177864
France,2021-05,Johnson&Johnson,5247661
France,2021-05,Moderna,81971106
France,2021-05,Oxford/AstraZeneca,140505249
France,2021-05,Pfizer/BioNTech,700752854
France,2021-06,Johnson&Johnson,14096132
France,2021-06,Moderna,127921046
France,2021-06,Oxford/AstraZeneca,182997608
France,2021-06,Pfizer/BioNTech,1074969177
France,2021-07,Johnson&Johnson,22234154
France,2021-07,Moderna,190754884
France,2021-07,Oxford/AstraZeneca,230725858
France,2021-07,Pfizer/BioNTech,1567900017
France,2021-08,Johnson&Johnson,30572875
France,2021-08,Moderna,253272757
France,2021-08,Oxford/AstraZeneca,241521813
France,2021-08,Pfizer/BioNTech,2020235254
France,2021-09,Johnson&Johnson,31852695
France,2021-09,Moderna,296648783
France,2021-09,Oxford/AstraZeneca,234523897
France,2021-09,Pfizer/BioNTech,2219663992
France,2021-10,Johnson&Johnson,33307988
France,2021-10,Moderna,338894520
France,2021-10,Oxford/AstraZeneca,242543540
France,2021-10,Pfizer/BioNTech,2418588150
France,2021-11,Johnson&Johnson,32379313
France,2021-11,Moderna,340682320
France,2021-11,Oxford/AstraZeneca,234844974
